"state","statename","place","placename"
"02","Alaska","03880","Anvik city"
"02","Alaska","03990","Arctic Village CDP"
"02","Alaska","04210","Atka city"
"02","Alaska","04430","Atmautluak CDP"
"02","Alaska","04500","Atqasuk city"
"02","Alaska","04670","Attu Station CDP"
"02","Alaska","05000","Badger CDP"
"02","Alaska","05200","Barrow city"
"02","Alaska","05585","Bear Creek CDP"
"02","Alaska","05750","Beaver CDP"
"02","Alaska","06245","Beluga CDP"
"02","Alaska","06520","Bethel city"
"02","Alaska","06630","Bettles city"
"02","Alaska","06850","Big Delta CDP"
"02","Alaska","07070","Big Lake CDP"
"02","Alaska","07620","Birch Creek CDP"
"02","Alaska","08740","Brevig Mission city"
"02","Alaska","09600","Buckland city"
"02","Alaska","09657","Buffalo Soapstone CDP"
"02","Alaska","09710","Butte CDP"
"02","Alaska","10150","Cantwell CDP"
"02","Alaska","11690","Central CDP"
"02","Alaska","11800","Chalkyitsik CDP"
"02","Alaska","12350","Chase CDP"
"02","Alaska","12680","Chefornak city"
"02","Alaska","12920","Chena Ridge CDP"
"02","Alaska","12970","Chenega CDP"
"02","Alaska","13230","Chevak city"
"02","Alaska","13340","Chickaloon CDP"
"02","Alaska","13450","Chicken CDP"
"02","Alaska","13550","Chignik city"
"02","Alaska","13670","Chignik Lagoon CDP"
"02","Alaska","13780","Chignik Lake CDP"
"02","Alaska","13860","Chiniak CDP"
"02","Alaska","13890","Chisana CDP"
"02","Alaska","14000","Chistochina CDP"
"02","Alaska","14110","Chitina CDP"
"02","Alaska","14330","Chuathbaluk city"
"02","Alaska","14880","Circle CDP"
"02","Alaska","15320","Clam Gulch CDP"
"02","Alaska","15430","Clark's Point city"
"02","Alaska","16360","Coffman Cove city"
"02","Alaska","16420","Cohoe CDP"
"02","Alaska","16530","Cold Bay city"
"02","Alaska","16630","Coldfoot CDP"
"02","Alaska","16750","College CDP"
"02","Alaska","17190","Cooper Landing CDP"
"02","Alaska","17300","Copper Center CDP"
"02","Alaska","17410","Cordova city"
"02","Alaska","17670","Covenant Life CDP"
"02","Alaska","17740","Craig city"
"02","Alaska","17850","Crooked Creek CDP"
"02","Alaska","17960","Crown Point CDP"
"02","Alaska","18510","Deering city"
"02","Alaska","18620","Delta Junction city"
"02","Alaska","18675","Deltana CDP"
"02","Alaska","18925","Diamond Ridge CDP"
"02","Alaska","18950","Dillingham city"
"02","Alaska","19060","Diomede city"
"02","Alaska","19720","Dot Lake CDP"
"02","Alaska","19750","Dot Lake Village CDP"
"02","Alaska","20020","Dry Creek CDP"
"02","Alaska","20380","Eagle city"
"02","Alaska","20600","Eagle Village CDP"
"02","Alaska","20970","Edna Bay CDP"
"02","Alaska","21040","Eek city"
"02","Alaska","21150","Egegik city"
"02","Alaska","21370","Eielson AFB CDP"
"02","Alaska","21810","Ekwok city"
"02","Alaska","22140","Elfin Cove CDP"
"02","Alaska","22250","Elim city"
"02","Alaska","22910","Emmonak city"
"02","Alaska","23460","Ester CDP"
"02","Alaska","23720","Eureka Roadhouse CDP"
"02","Alaska","23790","Evansville CDP"
"02","Alaska","23900","Excursion Inlet CDP"
"02","Alaska","24230","Fairbanks city"
"02","Alaska","24660","False Pass city"
"02","Alaska","24980","Farmers Loop CDP"
"02","Alaska","25000","Farm Loop CDP"
"02","Alaska","25220","Ferry CDP"
"02","Alaska","25550","Fishhook CDP"
"02","Alaska","25880","Flat CDP"
"02","Alaska","26100","Fort Greely CDP"
"02","Alaska","26760","Fort Yukon city"
"02","Alaska","26835","Four Mile Road CDP"
"02","Alaska","26870","Fox CDP"
"02","Alaska","26910","Fox River CDP"
"02","Alaska","27090","Fritz Creek CDP"
"02","Alaska","27145","Funny River CDP"
"02","Alaska","27420","Gakona CDP"
"02","Alaska","27530","Galena city"
"02","Alaska","27640","Gambell city"
"02","Alaska","27700","Game Creek CDP"
"02","Alaska","28200","Gateway CDP"
"02","Alaska","28590","Glacier View CDP"
"02","Alaska","28740","Glennallen CDP"
"02","Alaska","29130","Goldstream CDP"
"02","Alaska","29180","Golovin city"
"02","Alaska","29290","Goodnews Bay city"
"02","Alaska","30060","Grayling city"
"02","Alaska","30500","Gulkana CDP"
"02","Alaska","30940","Gustavus city"
"02","Alaska","31050","Haines CDP"
"02","Alaska","31270","Halibut Cove CDP"
"02","Alaska","31710","Happy Valley CDP"
"02","Alaska","31765","Harding-Birch Lakes CDP"
"02","Alaska","32150","Healy CDP"
"02","Alaska","32310","Healy Lake CDP"
"02","Alaska","32550","Hobart Bay CDP"
"02","Alaska","32810","Hollis CDP"
"02","Alaska","33030","Holy Cross city"
"02","Alaska","33140","Homer city"
"02","Alaska","33360","Hoonah city"
"02","Alaska","33470","Hooper Bay city"
"02","Alaska","33580","Hope CDP"
"02","Alaska","33800","Houston city"
"02","Alaska","33910","Hughes city"
"02","Alaska","34350","Huslia city"
"02","Alaska","34460","Hydaburg city"
"02","Alaska","34570","Hyder CDP"
"02","Alaska","34790","Igiugig CDP"
"02","Alaska","35120","Iliamna CDP"
